cluster,location_geometry
129,"POLYGON ((34.11424457 -118.18812002, 34.1187092 -118.1820549, 34.12143595 -118.18591313, 34.1200767 -118.18953211, 34.11995997 -118.18951422, 34.118007 -118.189183, 34.11424457 -118.18812002))"
130,"POLYGON ((34.13976997 -118.21657201, 34.1302735 -118.2184932, 34.13246968 -118.21492868, 34.13945369 -118.21050882, 34.13976997 -118.21657201))"
131,"POLYGON ((34.13205448 -118.2064255, 34.13174321 -118.20616946, 34.13271569 -118.19940926, 34.13297815 -118.19937246, 34.13288371 -118.20258855, 34.13205448 -118.2064255))"
132,"POLYGON ((33.99516667 -118.44966667, 33.99460515 -118.45408886, 33.98546673 -118.44672779, 33.98526126 -118.44654017, 33.98426716 -118.44499032, 33.98509868 -118.44064809, 33.98635006 -118.4379889, 33.98815768 -118.44029271, 33.99516667 -118.44966667))"
133,"POLYGON ((33.99220985 -118.47270012, 33.99070045 -118.46739762, 33.9962 -118.469, 33.9975938 -118.46972681, 33.99584436 -118.47092601, 33.99220985 -118.47270012))"
134,"POLYGON ((33.98817075 -118.46801164, 33.991476 -118.47611145, 33.98712597 -118.47551107, 33.98575955 -118.47516549, 33.98426346 -118.47162354, 33.9852602 -118.46993677, 33.98562468 -118.4696177, 33.98817075 -118.46801164))"
135,"POLYGON ((33.99026814 -118.46313837, 33.99069185 -118.46670823, 33.98947769 -118.46341113, 33.9895 -118.46333333, 33.99026814 -118.46313837))"
136,"POLYGON ((33.97668072 -118.46456888, 33.98073823 -118.46343921, 33.98079032 -118.46355881, 33.98136831 -118.46757538, 33.97692909 -118.46689733, 33.97668072 -118.46456888))"
137,"POLYGON ((33.973085 -118.422665, 33.96796703 -118.42287539, 33.96470635 -118.42062998, 33.96914104 -118.41152195, 33.97111888 -118.41100608, 33.97238522 -118.4144593, 33.97247494 -118.41500243, 33.973085 -118.422665))"
138,"POLYGON ((33.96044524 -118.3964495, 33.9556762 -118.3997074, 33.95444011 -118.39547236, 33.957526 -118.3916289, 33.96044524 -118.3964495))"
139,"POLYGON ((33.95777569 -118.38029743, 33.95815504 -118.38481438, 33.95340957 -118.38177661, 33.95346884 -118.38140185, 33.95777569 -118.38029743))"
140,"POLYGON ((33.94582981 -118.39507163, 33.94256593 -118.37088582, 33.94515103 -118.3702399, 33.94575485 -118.37020045, 33.94794554 -118.37541315, 33.94959942 -118.38858843, 33.94939542 -118.39145064, 33.94582981 -118.39507163))"
141,"POLYGON ((33.94403824 -118.41084043, 33.93613579 -118.40840338, 33.9378911 -118.40103068, 33.9405123 -118.39476059, 33.94170244 -118.39402724, 33.94582246 -118.39815759, 33.94761094 -118.40108627, 33.94692108 -118.40785202, 33.94609327 -118.41024241, 33.94403824 -118.41084043))"
142,"POLYGON ((33.95558286 -118.43345954, 33.95444583 -118.43253993, 33.95816592 -118.42970958, 33.95765753 -118.43290692, 33.9556283 -118.43345949, 33.95558286 -118.43345954))"
143,"POLYGON ((33.97646469 -118.38902058, 33.97662961 -118.38678733, 33.97760734 -118.38877398, 33.98037635 -118.39444374, 33.97722257 -118.39232033, 33.97647447 -118.38918699, 33.97646469 -118.38902058))"
144,"POLYGON ((33.97083027 -118.37895118, 33.97112064 -118.37680336, 33.97438925 -118.37360809, 33.97744227 -118.37159718, 33.97793268 -118.37166116, 33.97583439 -118.38155286, 33.9730797 -118.380233, 33.97083027 -118.37895118))"
145,"POLYGON ((33.98467904 -118.40829391, 33.9846632 -118.40807028, 33.98495258 -118.40604538, 33.9864247 -118.4040256, 33.98615695 -118.40767712, 33.98615028 -118.40769987, 33.98467904 -118.40829391))"
146,"POLYGON ((34.10763795 -118.23885986, 34.10321419 -118.23957736, 34.10293948 -118.23950375, 34.10267097 -118.23934504, 34.10217323 -118.23901108, 34.10149348 -118.23472976, 34.10163555 -118.23449818, 34.10615251 -118.23426716, 34.10763795 -118.23885986))"
147,"POLYGON ((34.11054445 -118.23551743, 34.1131921 -118.23394582, 34.1138 -118.235, 34.112571 -118.2411952, 34.11078342 -118.23633167, 34.11054445 -118.23551743))"
148,"POLYGON ((34.08699286 -118.48333535, 34.08479216 -118.4833733, 34.08468542 -118.48250304, 34.08520503 -118.48163625, 34.08699286 -118.48333535))"
149,"POLYGON ((34.11828437 -118.30031991, 34.119279 -118.296467, 34.11958856 -118.29616618, 34.11981049 -118.29598729, 34.12013156 -118.30041405, 34.11994 -118.30076, 34.11832861 -118.30052254, 34.11828437 -118.30031991))"
150,"POLYGON ((34.25986866 -118.60254007, 34.2574891 -118.601491, 34.257496 -118.60014187, 34.25928653 -118.59761864, 34.2593566 -118.59760213, 34.26054473 -118.59779454, 34.26059767 -118.59801494, 34.25986866 -118.60254007))"
151,"POLYGON ((34.25611548 -118.584424, 34.25455774 -118.58902008, 34.25223156 -118.58634808, 34.25203572 -118.58429368, 34.25611548 -118.584424))"
153,"POLYGON ((34.30188035 -118.45098923, 34.30406017 -118.44589, 34.3070394 -118.44608614, 34.30779648 -118.44740317, 34.30656443 -118.44891991, 34.30188035 -118.45098923))"
154,"POLYGON ((34.30639523 -118.43017752, 34.30752258 -118.42917298, 34.30807093 -118.42996708, 34.30765254 -118.43492583, 34.30654856 -118.43140072, 34.30639523 -118.43017752))"
155,"POLYGON ((34.27988799 -118.39427337, 34.27874051 -118.40026578, 34.2777928 -118.3967097, 34.27783679 -118.3932884, 34.27988799 -118.39427337))"
156,"POLYGON ((33.79147476 -118.30852223, 33.78275745 -118.30630126, 33.79007048 -118.30140201, 33.79210609 -118.3003529, 33.79217465 -118.30033334, 33.79218738 -118.30040214, 33.79165964 -118.30759829, 33.79147476 -118.30852223))"
157,"POLYGON ((33.78876865 -118.26845988, 33.7823261 -118.2672401, 33.7824385 -118.2667833, 33.7833973 -118.2648198, 33.7871984 -118.261809, 33.7872294 -118.2618485, 33.78864264 -118.26782601, 33.78876865 -118.26845988))"
158,"POLYGON ((33.72897492 -118.28497792, 33.72867 -118.29, 33.72677447 -118.28877214, 33.726269 -118.287623, 33.72897492 -118.28497792))"
159,"POLYGON ((33.750454 -118.307563, 33.75033674 -118.30851993, 33.74620229 -118.3125993, 33.7460483 -118.31272263, 33.74586257 -118.31277379, 33.74440058 -118.30549699, 33.74442465 -118.30540119, 33.74451145 -118.30539566, 33.74459283 -118.30542047, 33.750454 -118.307563))"
160,"POLYGON ((34.25897167 -118.30652288, 34.2527233 -118.30344758, 34.25276343 -118.30327464, 34.26339555 -118.29471732, 34.26340067 -118.29475281, 34.26283916 -118.29851914, 34.2598723 -118.30623393, 34.25897167 -118.30652288))"
161,"POLYGON ((34.2478294 -118.2819215, 34.25042458 -118.28208681, 34.2505185 -118.2822524, 34.24715312 -118.28628568, 34.24701744 -118.28631652, 34.24695663 -118.28622883, 34.24691254 -118.28616388, 34.2478294 -118.2819215))"
162,"POLYGON ((34.235255 -118.27048, 34.23577127 -118.26782729, 34.23595203 -118.26790835, 34.23742435 -118.26959588, 34.235255 -118.27048))"
