cluster,location_geometry
31,"POLYGON ((34.19281092 -118.51002666, 34.19116024 -118.50228575, 34.19455961 -118.50188617, 34.19506866 -118.50654096, 34.19506957 -118.50672632, 34.19414699 -118.50976876, 34.19281092 -118.51002666))"
32,"POLYGON ((34.20476419 -118.50168417, 34.20098395 -118.50100959, 34.20169594 -118.49757325, 34.20233151 -118.49513037, 34.20638683 -118.49833257, 34.20789157 -118.50159556, 34.20476419 -118.50168417))"
33,"POLYGON ((34.18695663 -118.54727813, 34.18481629 -118.54484971, 34.1863748 -118.5402655, 34.18758745 -118.54635942, 34.18695663 -118.54727813))"
34,"POLYGON ((34.178428 -118.53862343, 34.17484775 -118.53916303, 34.16850162 -118.53541028, 34.16774017 -118.5338991, 34.168661 -118.53291035, 34.17526429 -118.53069857, 34.17741282 -118.5301208, 34.17752103 -118.53023155, 34.178428 -118.53862343))"
35,"POLYGON ((34.16888176 -118.52474837, 34.16700303 -118.52333001, 34.1660076 -118.51857562, 34.16927438 -118.51782119, 34.17207295 -118.51771632, 34.1733815 -118.5183423, 34.17519567 -118.52056716, 34.16895079 -118.52473332, 34.16888176 -118.52474837))"
36,"POLYGON ((34.21783225 -118.53670367, 34.20901662 -118.53866214, 34.20902706 -118.53862464, 34.21157586 -118.53374954, 34.21783225 -118.53670367))"
37,"POLYGON ((34.23520554 -118.56201118, 34.23519953 -118.56200548, 34.22689281 -118.55324102, 34.22707609 -118.55054663, 34.23570399 -118.55008122, 34.2403247 -118.5529857, 34.24147944 -118.55440021, 34.24258471 -118.5608649, 34.24258518 -118.56089721, 34.24225483 -118.56174305, 34.23520554 -118.56201118))"
38,"POLYGON ((34.235699 -118.534731, 34.236568 -118.5251862, 34.2456048 -118.51963122, 34.25022506 -118.51961665, 34.25370029 -118.51982905, 34.25174249 -118.5276858, 34.24427025 -118.53786222, 34.23897988 -118.5414218, 34.23685678 -118.53730812, 34.23603308 -118.53554091, 34.235699 -118.534731))"
39,"POLYGON ((34.23434031 -118.52085943, 34.23430146 -118.52106001, 34.23427036 -118.52098545, 34.23425909 -118.52078224, 34.23434031 -118.52085943))"
40,"POLYGON ((34.26157001 -118.53470583, 34.2616654 -118.53477172, 34.26163339 -118.53489991, 34.25839233 -118.53975368, 34.25846104 -118.53600369, 34.26157001 -118.53470583))"
